,SOL,BNB,XRP,ADA,DOGE,TRX,AVAX,LINK,DOT,LTC,BCH,UNI,ATOM,XLM,ETC,NEAR,FIL,APT,ICP,HBAR,SUI,ARB,OP,INJ,SHIB,TON,PEPE,AAVE,MKR,VET,RENDER,ALGO
2022-01-01,179.06,527.3,0.8507,1.38,0.1732,0.0766,114.13,20.76,28.6,150.8,444.8,17.48,36.36,0.2765,34.88,15.175,35.88,,25.62,0.3003,,,,8.53,3.415e-05,,,266.4,2419.0,0.08658,,1.7414
2022-01-02,176.35,531.0,0.8586,1.377,0.1745,0.07762,113.03,21.87,29.69,151.2,447.7,18.4,35.53,0.2921,35.41,14.384,35.74,,27.31,0.3121,,,,8.551,3.401e-05,,,265.3,2471.0,0.08714,,1.6734
2022-01-03,170.15,511.9,0.8324,1.319,0.1703,0.07705,108.11,23.72,30.11,148.5,434.7,18.46,39.25,0.2902,34.72,16.485,35.08,,29.26,0.3066,,,,8.276,3.304e-05,,,267.2,2391.0,0.08587,,1.7949
2022-01-04,167.72,506.9,0.8228,1.309,0.1684,0.07592,103.33,23.42,28.69,146.5,427.1,18.21,42.1,0.2791,34.14,16.028,36.17,,33.79,0.325,,,,8.133,3.243e-05,,,252.1,2446.0,0.0859,,1.6725
2022-01-05,154.52,474.1,0.7726,1.23,0.159,0.07112,97.42,25.24,26.72,135.4,399.4,17.11,38.66,0.2661,31.94,15.309,33.15,,30.64,0.2876,,,,7.578,3.038e-05,,,230.3,2238.0,0.08461,,1.5554
2022-01-06,150.26,472.6,0.7791,1.28,0.1599,0.07106,95.11,25.38,26.72,135.9,399.8,17.06,40.08,0.2676,31.63,15.935,32.98,,30.59,0.2941,,,,7.43,3.075e-05,,,221.0,2244.0,0.08257,,1.5633
2022-01-07,136.45,448.1,0.7634,1.21,0.155,0.0682,86.74,25.98,24.9,131.4,385.7,15.76,38.58,0.2569,30.45,15.057,31.54,,30.23,0.2729,,,,6.946,2.901e-05,,,211.7,2132.0,0.07861,,1.4458
2022-01-08,142.14,429.9,0.7452,1.181,0.1509,0.06539,83.9,25.32,23.99,129.4,372.9,14.92,35.87,0.255,29.35,13.82,29.46,,32.92,0.2647,,,,6.854,2.772e-05,,,212.3,2047.0,0.07545,,1.385
2022-01-09,140.82,438.7,0.753,1.17,0.1505,0.06611,89.33,27.54,24.63,130.9,376.8,15.8,34.98,0.2609,29.73,13.519,30.21,,36.15,0.2714,,,,6.74,2.825e-05,,,209.5,2122.0,0.07663,,1.4004
2022-01-10,135.86,424.7,0.7399,1.123,0.1431,0.06342,84.36,27.98,23.72,126.5,363.6,15.11,37.86,0.2529,28.48,15.474,28.12,,34.31,0.2594,,,,6.816,2.669e-05,,,199.9,1987.0,0.07302,,1.3623
2022-01-11,140.2,463.6,0.7703,1.187,0.1538,0.06493,89.59,26.59,25.56,131.6,369.8,15.96,38.7,0.263,29.66,18.045,28.88,,34.43,0.2754,,,,7.147,2.763e-05,,,213.3,2076.0,0.07661,,1.446
