,BTC,ETH,SOL,LDO,ENA,SQD,PENDLE,AAVE,TON,PUMP,VIRTUAL,SKY
2022-01-01,47722.65,3765.54,179.06,,,,,266.4,,,,
2022-01-02,47286.18,3828.27,176.35,,,,,265.3,,,,
2022-01-03,46446.1,3765.89,170.15,,,,,267.2,,,,
2022-01-04,45832.01,3785.11,167.72,,,,,252.1,,,,
2022-01-05,43451.13,3540.63,154.52,,,,,230.3,,,,
2022-01-06,43082.31,3406.81,150.26,,,,,221.0,,,,
2022-01-07,41566.48,3199.24,136.45,,,,,211.7,,,,
2022-01-08,41679.74,3080.95,142.14,,,,,212.3,,,,
2022-01-09,41864.62,3151.97,140.82,,,,,209.5,,,,
2022-01-10,41822.49,3082.68,135.86,,,,,199.9,,,,
2022-01-11,42729.29,3239.72,140.2,,,,,213.3,,,,
2022-01-12,43902.66,3371.26,151.51,,,,,218.5,,,,
2022-01-13,42560.11,3240.61,146.14,,,,,209.3,,,,
2022-01-14,43059.96,3307.42,146.17,,,,,223.9,,,,
2022-01-15,43084.29,3326.04,147.64,,,,,238.4,,,,
2022-01-16,43071.66,3346.88,147.98,,,,,242.5,,,,
2022-01-17,42201.62,3209.67,139.8,,,,,226.6,,,,
2022-01-18,42352.12,3159.85,141.22,,,,,232.4,,,,
2022-01-19,41660.01,3084.02,135.25,,,,,210.2,,,,
2022-01-20,40680.91,3001.48,127.54,,,,,198.4,,,,
2022-01-21,36445.31,2568.15,112.27,,,,,171.0,,,,
2022-01-22,35071.42,2412.18,94.54,,,,,146.9,,,,
2022-01-23,36244.55,2539.01,99.78,,,,,158.4,,,,
2022-01-24,36660.35,2439.29,91.93,,,,,152.5,,,,
2022-01-25,36958.32,2458.83,94.67,,,,,151.8,,,,
2022-01-26,36809.34,2462.99,92.12,,,,,146.5,,,,
2022-01-27,37160.1,2424.25,89.51,,,,,144.5,,,,
2022-01-28,37716.56,2544.99,91.34,,,,,149.0,,,,
2022-01-29,38166.84,2601.43,96.13,,,,,154.0,,,,
2022-01-30,37881.76,2601.68,93.29,,,,,148.9,,,,
2022-01-31,38466.9,2686.94,99.49,,,,,157.5,,,,
2022-02-01,38694.59,2787.23,110.02,,,,,163.7,,,,
2022-02-02,36896.36,2680.67,101.88,,,,,151.2,,,,
2022-02-03,37311.61,2695.46,101.77,,,,,153.0,,,,
2022-02-04,41574.25,2994.99,112.62,,,,,166.8,,,,
2022-02-05,41382.59,3012.65,113.75,,,,,166.2,,,,
2022-02-06,42380.87,3054.99,115.28,,,,,173.5,,,,
2022-02-07,43839.99,3139.77,117.55,,,,,182.1,,,,
2022-02-08,44042.99,3116.69,113.45,,,,,183.9,,,,
2022-02-09,44372.72,3243.94,113.93,,,,,188.0,,,,
2022-02-10,43495.44,3072.49,106.17,,,,,175.4,,,,
2022-02-11,42373.73,2927.54,96.53,,,,,163.6,,,,
2022-02-12,42217.87,2918.88,95.96,,,,,162.4,,,,
2022-02-13,42053.66,2871.13,92.85,,,,,158.1,,,,
2022-02-14,42535.94,2929.75,96.37,,,,,161.0,,,,
2022-02-15,44544.86,3183.52,105.52,,,,,172.2,,,,
2022-02-16,43873.56,3122.3,101.86,,,,,170.5,,,,
2022-02-17,40515.7,2891.87,93.52,,,,,153.0,,,,
2022-02-18,39974.44,2779.48,89.86,,,,,145.5,,,,
2022-02-19,40079.17,2763.63,91.27,,,,,146.2,,,,
2022-02-20,38386.89,2621.99,90.72,,,,,137.6,,,,
2022-02-21,37008.16,2568.02,82.96,,,,,128.6,,,,
2022-02-22,38230.33,2636.29,86.38,,,,,134.7,,,,
2022-02-23,37250.01,2579.71,84.59,,,,,130.6,,,,
2022-02-24,38327.21,2596.2,89.36,,,,,125.4,,,,
2022-02-25,39219.17,2768.49,92.71,,,,,139.5,,,,
2022-02-26,39116.72,2779.47,90.23,,,,,136.6,,,,
2022-02-27,37699.07,2616.79,85.63,,,,,131.6,,,,
2022-02-28,43160.0,2920.95,99.68,,,,,145.8,,,,
2022-03-01,44421.2,2976.33,98.66,,,,,143.3,,,,
2022-03-02,43892.98,2947.3,100.68,,,,,137.7,,,,
2022-03-03,42454.0,2833.99,95.62,,,,,130.0,,,,
2022-03-04,39148.66,2622.1,88.32,,,,,124.2,,,,
2022-03-05,39397.96,2665.15,89.63,,,,,124.6,,,,
2022-03-06,38420.81,2551.29,84.57,,,,,116.7,,,,
2022-03-07,37988.0,2491.12,81.66,,,,,116.8,,,,
2022-03-08,38730.63,2575.97,82.32,,,,,121.6,,,,
2022-03-09,41941.71,2726.98,88.06,,,,,127.6,,,,
2022-03-10,39422.0,2606.7,82.87,,,,,119.2,,,,
2022-03-11,38729.57,2556.86,80.67,,,,,116.6,,,,
2022-03-12,38807.36,2568.8,81.38,,,,,120.4,,,,
2022-03-13,37777.34,2515.65,78.73,,,,,115.7,,,,
2022-03-14,39671.37,2589.41,81.22,,,,,118.4,,,,
2022-03-15,39280.33,2617.73,82.84,,,,,122.1,,,,
2022-03-16,41114.0,2773.81,87.77,,,,,141.7,,,,
2022-03-17,40917.9,2811.92,87.8,,,,,155.6,,,,
2022-03-18,41757.51,2938.92,89.8,,,,,160.1,,,,
2022-03-19,42201.13,2950.84,92.31,,,,,157.2,,,,
2022-03-20,41262.11,2861.38,88.62,,,,,152.6,,,,
2022-03-21,41002.25,2890.03,88.59,,,,,153.9,,,,
2022-03-22,42364.13,2969.64,90.43,,,,,152.9,,,,
2022-03-23,42882.76,3036.0,94.89,,,,,156.0,,,,
